id	pop	alpha	pvalue	test
ENSG00000000457	EUR	0.222	0.9999999999999984	std
ENSG00000000457	EUR	0.2222222222222222	1.0	emkt1
ENSG00000000457	EUR	0.2222222222222222	1.0	emkt2
ENSG00000000457	EUR	0.4444444444444444	1.0	fww1
ENSG00000000457	EUR	0.4444444444444444	1.0	fww2
ENSG00000000457	EUR	0.444	0.49529670648546076	imp1
ENSG00000000457	EUR	0.444	0.49529670648546076	imp2
ENSG00000000460	EUR	-1.743	0.12399417606744098	std
ENSG00000000460	EUR	-1.7428571428571424	0.12399417606743975	emkt1
ENSG00000000460	EUR	-1.5904761904761902	0.13189099327073153	emkt2
ENSG00000000460	EUR	-1.8571428571428568	0.38080495356037325	fww1
ENSG00000000460	EUR	-0.7142857142857142	1.0	fww2
ENSG00000000460	EUR	-1.857	0.12149675882664693	imp1
ENSG00000000460	EUR	-0.714	0.5395986383595325	imp2
ENSG00000000938	EUR	-0.167	0.9999999999999994	std
ENSG00000000971	EUR	-0.511	0.5870842298719718	std
ENSG00000000971	EUR	-0.22777777777777763	0.7826697304439454	emkt1
ENSG00000000971	EUR	-0.4166666666666665	0.5913223682750444	emkt2
ENSG00000000971	EUR	0.05555555555555558	0.9999999999999918	fww1
ENSG00000000971	EUR	-0.1333333333333333	0.9999999999999939	fww2
ENSG00000000971	EUR	0.056	1.0	imp1
ENSG00000000971	EUR	-0.133	0.9999999999999869	imp2
ENSG00000001460	EUR	-4.333	0.0834093442789092	std
ENSG00000001460	EUR	-2.0	0.3777089783281757	emkt1
ENSG00000001460	EUR	-2.0	0.3777089783281757	emkt2
ENSG00000001460	EUR	-0.6666666666666667	1.0	fww1
ENSG00000001460	EUR	-0.6666666666666667	1.0	fww2
ENSG00000001460	EUR	-0.667	0.6640614287673163	imp1
ENSG00000001460	EUR	-0.667	0.6640614287673163	imp2
ENSG00000001461	EUR	-2.667	0.2176659038901592	std
ENSG00000006555	EUR	-1.5	0.6424148606811177	std
ENSG00000007341	EUR	-0.375	1.0	std
ENSG00000007908	EUR	-1.229	0.4490994134269223	std
ENSG00000007923	EUR	-1.8	0.4136492125454298	std
ENSG00000007933	EUR	-17.333	0.018059855521155913	std
ENSG00000007933	EUR	-14.0	0.04298642533936668	emkt1
ENSG00000007933	EUR	-12.333333333333332	0.04977375565610855	emkt2
ENSG00000007933	EUR	-9.0	0.22619047619047591	fww1
ENSG00000007933	EUR	-4.0	0.46428571428571436	fww2
ENSG00000007933	EUR	-9.0	0.11888111888111913	imp1
ENSG00000007933	EUR	-4.0	0.5454545454545449	imp2
ENSG00000007968	EUR	-11.0	0.094905094905095	std
ENSG00000008118	EUR	-4.333	0.16176470588235323	std
ENSG00000008128	EUR	0.507	0.36753631841382395	std
ENSG00000008130	EUR	0.273	0.7511863074565445	std
ENSG00000008130	EUR	0.2727272727272727	0.7511863074565445	emkt1
ENSG00000008130	EUR	0.2727272727272727	0.7511863074565445	emkt2
ENSG00000008130	EUR	0.09090909090909094	0.999999999999996	fww1
ENSG00000008130	EUR	0.09090909090909094	0.999999999999996	fww2
ENSG00000008130	EUR	0.091	0.9999999999999906	imp1
ENSG00000008130	EUR	0.091	0.9999999999999906	imp2
ENSG00000009307	EUR	0.429	0.9999999999999994	std
ENSG00000009709	EUR	-0.875	0.6556587547299644	std
ENSG00000009724	EUR	-0.219	0.9999999999999852	std
ENSG00000009724	EUR	-0.125	0.9999999999999876	emkt1
ENSG00000009724	EUR	-0.125	0.9999999999999876	emkt2
ENSG00000009724	EUR	0.25	0.9999999999999993	fww1
ENSG00000009724	EUR	0.25	0.9999999999999993	fww2
ENSG00000009724	EUR	0.25	0.7300140435458231	imp1
